# Fuel consumption dataset for FAST project
# Sources: US DOE fueleconomy.gov | EEA COPERT methodology | Natural Resources Canada fuel consumption guide
distance_km,avg_speed_kmh,vehicle_type,vehicle_mileage_kmpl,temperature_c,wind_speed_kmh,precipitation_mm,road_type,num_stops_per_km,fuel_consumed_litres
218.8,83.6,car,12.1,-2.5,4.4,10.1,highway,0.4,23.71
208.1,28.0,bike,46.8,36.6,20.8,0.3,urban,4.91,15.083
254.8,29.0,car,17.3,10.5,18.8,4.0,urban,3.12,39.921
186.6,36.1,truck,6.6,-1.8,17.5,0.4,urban,4.04,68.2
375.6,87.4,car,20.9,-1.3,15.4,1.0,highway,0.14,23.461
437.8,54.4,car,12.8,7.6,10.5,2.5,mixed,1.0,49.157
442.0,100.4,suv,13.1,3.9,8.6,2.7,highway,0.47,52.459
117.7,35.6,car,13.9,33.7,32.0,4.5,urban,3.62,21.153
448.5,32.0,truck,7.3,11.1,46.0,2.9,urban,2.86,147.36
174.1,100.1,truck,7.1,35.2,25.4,2.7,highway,0.29,33.762
158.1,118.0,car,17.4,3.7,14.9,7.3,highway,0.24,18.511
364.7,103.5,car,19.1,19.6,8.0,1.8,highway,0.14,27.588
155.8,78.4,car,15.1,29.4,41.5,0.8,mixed,1.48,15.981
31.2,56.5,car,16.7,27.6,48.6,0.5,mixed,1.86,3.404
189.9,34.1,bike,54.6,25.1,17.5,1.5,urban,2.07,8.281
362.1,71.4,suv,11.2,41.2,14.5,3.7,highway,0.3,36.61
166.8,23.7,car,15.6,6.4,30.1,0.1,urban,4.76,37.606
316.6,51.0,bike,44.8,19.7,38.8,0.4,mixed,2.26,13.432
331.8,74.9,car,20.3,39.2,22.8,0.3,mixed,1.47,27.348
368.2,91.5,truck,4.7,-1.1,31.5,2.6,highway,0.33,113.914
449.1,94.4,car,13.7,-2.2,35.8,0.8,highway,0.32,50.713
219.1,60.5,bike,51.4,6.7,48.0,0.5,mixed,1.28,7.435
87.4,20.1,car,20.3,26.7,8.3,2.7,urban,4.83,16.66
162.9,99.8,truck,3.5,8.0,49.9,4.3,highway,0.17,74.472
218.9,84.7,car,14.4,4.5,19.6,1.2,highway,0.11,18.895
358.4,41.4,suv,9.0,17.9,36.2,2.6,urban,4.14,90.298
11.5,38.0,suv,10.4,25.7,28.6,0.3,mixed,1.19,1.84
161.3,46.4,car,16.5,7.4,24.3,8.2,mixed,2.33,20.883
391.0,15.5,suv,13.2,10.0,34.9,1.2,urban,4.35,111.58
337.1,18.2,car,18.5,25.7,19.8,18.0,urban,4.89,69.246
367.2,101.4,suv,12.3,42.3,6.3,11.5,highway,0.22,44.048
406.8,36.4,suv,10.5,28.7,24.4,4.5,urban,3.26,87.413
392.7,17.1,car,20.4,34.1,26.1,0.1,urban,3.44,63.271
342.7,29.9,bike,44.1,13.3,10.1,2.4,urban,3.13,20.227
222.6,29.2,suv,14.9,8.6,46.8,0.3,urban,3.09,45.143
491.9,113.0,car,18.3,17.7,11.4,6.8,highway,0.26,44.418
286.7,107.7,car,13.3,35.4,20.5,4.7,highway,0.49,36.011
105.4,97.7,bike,50.3,17.8,7.7,10.8,highway,0.12,2.804
149.9,88.1,car,15.3,37.3,26.8,2.8,highway,0.16,11.946
348.3,88.3,suv,12.8,44.4,15.4,2.2,highway,0.12,34.14
462.7,64.4,bike,32.1,-1.4,24.5,2.2,mixed,1.04,20.523
93.5,35.2,car,13.7,-2.7,11.2,1.5,urban,3.46,17.12
45.8,39.5,car,20.6,2.5,2.7,1.9,urban,2.9,6.036
441.4,79.9,suv,9.6,14.2,39.0,3.0,mixed,1.11,63.172
458.1,47.7,car,20.4,1.6,32.1,8.1,mixed,0.91,40.191
141.8,24.6,suv,10.0,38.5,17.0,2.7,urban,2.71,34.31
191.8,55.3,car,18.4,-3.8,2.4,5.8,mixed,1.53,18.301
331.8,94.2,truck,6.5,10.8,43.3,6.0,highway,0.18,75.599
168.3,75.3,bike,45.4,4.2,8.5,2.2,highway,0.23,4.474
439.2,17.8,car,15.1,41.6,46.5,1.3,urban,2.02,80.99
58.3,24.5,bike,36.4,28.5,23.9,3.1,urban,2.46,4.068
23.8,41.3,truck,3.2,40.6,17.0,1.8,urban,2.21,12.141
108.2,90.7,truck,4.5,43.6,37.1,0.3,highway,0.49,33.727
146.6,73.6,car,18.5,19.9,43.8,1.4,highway,0.11,8.796
60.9,28.0,suv,14.6,6.7,18.5,15.4,urban,2.45,10.921
37.5,105.1,suv,14.1,4.7,20.4,0.1,highway,0.42,4.525
379.0,44.1,car,19.7,6.1,21.7,3.6,urban,4.81,63.185
86.3,23.9,car,19.9,30.4,46.1,5.5,urban,3.56,14.277
457.4,64.1,car,18.6,-3.0,34.6,3.1,mixed,1.03,39.629
187.2,60.2,bike,37.8,-2.4,12.4,2.5,mixed,1.87,8.759
336.9,37.1,truck,7.5,25.4,9.2,3.7,mixed,1.31,77.427
116.6,29.7,truck,6.4,27.1,11.5,1.7,urban,3.01,40.468
124.0,63.3,suv,11.9,28.3,13.2,0.3,mixed,2.31,17.261
289.5,18.0,car,13.1,13.6,11.5,9.8,urban,3.13,61.771
282.5,92.5,car,16.5,35.3,32.9,1.7,highway,0.16,21.245
385.5,110.3,suv,11.2,21.7,5.8,3.3,highway,0.2,54.008
380.1,78.1,truck,7.3,0.3,19.4,2.3,highway,0.44,69.44
337.0,36.7,truck,5.7,34.9,31.3,0.2,urban,3.73,127.197
227.3,32.0,suv,10.7,42.7,14.5,9.2,urban,2.2,45.638
445.9,70.0,suv,14.8,-2.0,3.3,4.7,mixed,1.69,53.771
313.2,109.6,bike,33.3,14.6,4.1,0.5,highway,0.26,14.62
495.1,76.5,car,16.2,19.4,6.3,12.0,highway,0.47,35.867
410.6,78.9,truck,3.2,2.3,41.8,4.0,mixed,1.35,179.177
26.9,73.4,suv,13.2,38.4,32.9,1.9,highway,0.14,2.225
163.7,34.3,bike,57.5,9.2,3.2,2.8,urban,2.77,8.005
288.1,28.7,bike,38.4,34.2,19.6,0.3,urban,2.38,17.105
362.1,40.9,suv,14.0,28.5,13.9,2.5,urban,2.18,52.953
277.4,87.6,bike,38.8,24.9,28.9,0.2,highway,0.26,8.783
394.1,81.6,car,21.1,4.6,26.1,2.4,highway,0.12,22.51
144.9,100.8,car,19.5,6.0,24.1,2.4,highway,0.3,11.144
96.0,43.8,suv,13.6,-2.6,15.7,6.2,urban,4.28,20.455
31.7,23.3,suv,8.1,7.0,6.9,3.9,urban,2.05,9.134
288.8,119.2,car,21.6,12.3,37.1,0.9,highway,0.24,25.483
345.9,26.7,suv,13.1,36.7,44.0,6.6,urban,3.14,74.187
166.4,64.0,car,15.0,13.3,47.2,2.6,mixed,2.13,19.387
308.7,94.6,car,20.3,32.7,2.9,2.8,highway,0.16,18.76
30.8,19.7,suv,10.0,17.0,37.0,0.6,urban,2.94,8.356
54.2,22.5,suv,14.1,34.2,36.3,5.9,urban,2.89,10.711
352.4,86.4,suv,8.8,43.8,47.4,8.0,highway,0.16,53.202
187.2,73.8,suv,12.9,7.0,12.6,4.5,highway,0.42,17.686
337.3,44.6,car,17.4,38.1,37.1,8.5,urban,2.58,43.305
416.7,49.6,bike,32.9,26.1,2.7,1.1,mixed,2.44,22.344
427.0,58.3,car,14.4,35.9,31.6,5.9,mixed,1.24,43.84
90.2,30.7,car,12.1,27.6,17.5,2.0,urban,3.05,15.734
245.7,77.5,car,16.7,16.2,38.4,0.5,mixed,1.73,23.958
368.3,30.5,truck,4.5,6.4,43.2,3.3,urban,3.08,187.495
388.1,15.3,car,18.0,-1.5,18.2,3.5,urban,2.38,68.645
393.4,15.1,truck,4.5,21.8,26.3,1.0,urban,3.77,239.422
117.9,83.6,suv,10.1,44.5,5.9,0.1,highway,0.26,13.534
100.3,41.8,suv,13.2,31.9,20.8,0.7,mixed,1.67,14.016
297.1,36.1,car,12.5,11.4,18.0,1.5,urban,3.36,52.929
371.8,21.1,car,21.0,36.4,9.2,0.6,urban,4.39,64.297
163.0,47.6,car,20.5,33.4,44.7,0.6,mixed,1.61,15.411
56.8,93.7,car,18.7,9.1,7.4,1.5,highway,0.25,4.163
359.8,118.4,suv,12.2,-4.3,31.8,9.8,highway,0.44,67.429
153.4,108.6,car,20.9,0.9,44.5,4.3,highway,0.36,14.849
87.3,76.9,bike,35.6,38.9,45.6,1.2,mixed,1.37,3.756
78.1,55.4,suv,8.6,36.8,39.7,9.1,mixed,2.21,14.915
160.9,119.6,car,14.4,9.8,8.8,3.1,highway,0.46,22.169
298.4,39.2,truck,7.0,9.3,40.9,1.8,urban,4.13,106.558
182.4,41.7,truck,3.2,34.6,13.8,1.9,urban,4.03,102.156
15.2,48.6,truck,5.9,41.9,46.1,1.6,mixed,1.61,4.448
53.0,28.0,car,22.0,34.0,35.5,0.8,urban,3.24,7.281
148.8,37.8,bike,55.7,25.3,39.3,1.5,urban,3.0,7.349
331.6,54.8,truck,5.6,7.1,4.3,2.3,mixed,2.44,94.548
53.8,71.7,car,12.6,21.3,29.1,2.3,highway,0.17,4.625
282.5,75.2,truck,7.2,6.7,41.1,4.3,highway,0.42,51.049
64.3,27.8,truck,6.0,35.4,43.1,1.3,urban,4.74,28.112
109.7,37.1,truck,3.6,14.3,1.4,3.8,mixed,0.83,45.173
90.2,17.9,car,12.9,36.7,47.0,2.6,urban,4.76,23.819
38.3,108.9,car,21.1,14.1,2.2,9.8,highway,0.17,2.872
337.3,108.8,truck,6.3,36.2,30.7,1.5,highway,0.23,85.028
234.4,39.8,car,20.3,11.7,34.7,6.9,urban,3.87,33.414
416.4,109.9,car,20.8,17.0,5.4,5.2,highway,0.26,31.341
54.0,42.5,car,17.7,25.8,2.4,3.0,urban,4.58,8.533
76.6,68.1,truck,5.6,-1.5,39.2,3.2,mixed,1.8,22.084
156.7,43.5,suv,11.0,42.4,19.2,0.3,urban,4.94,38.777
384.1,19.6,car,15.2,23.7,5.4,9.0,urban,3.84,79.245
156.4,17.5,bike,43.0,20.4,38.1,0.3,urban,4.38,12.323
207.2,119.1,suv,13.4,37.0,42.5,2.5,highway,0.15,29.949
154.3,70.4,truck,6.0,38.3,29.4,1.2,mixed,1.96,37.793
44.7,29.2,bike,56.8,21.1,8.1,1.7,urban,4.28,2.578
470.0,39.9,car,16.4,41.4,0.8,2.8,urban,2.07,58.531
276.5,36.9,truck,6.0,-1.8,35.0,7.2,urban,4.45,118.744
395.0,21.3,suv,12.4,0.7,27.5,1.8,urban,2.04,88.597
330.9,43.5,suv,12.1,24.8,32.5,13.2,urban,3.97,70.369
259.6,88.2,suv,12.9,12.7,40.7,2.7,highway,0.14,25.533
49.4,65.7,car,14.4,18.2,21.7,0.5,mixed,1.33,4.793
323.2,50.2,car,17.1,11.4,6.2,0.6,mixed,1.57,32.41
81.9,30.0,suv,8.7,15.2,47.0,3.8,urban,3.03,22.195
210.1,68.1,suv,10.7,36.1,27.3,0.2,mixed,1.53,28.831
316.4,116.5,truck,5.4,24.7,30.8,2.0,highway,0.13,104.589
392.2,25.7,truck,6.3,44.9,46.7,0.5,urban,3.77,172.64
344.1,20.8,car,21.5,34.3,46.6,1.7,urban,3.56,56.291
337.4,21.1,car,18.0,8.7,28.6,4.2,urban,4.23,66.363
78.8,20.6,suv,13.2,8.2,14.9,1.8,urban,3.53,18.509
176.3,100.1,suv,11.5,11.8,49.9,0.5,highway,0.25,23.372
26.2,103.6,suv,12.4,37.2,34.0,0.9,highway,0.44,3.423
361.1,32.1,suv,8.5,-3.6,20.4,1.4,urban,2.08,94.038
476.5,94.4,truck,4.3,6.5,28.0,0.2,highway,0.43,161.558
135.7,70.6,car,15.6,40.2,20.8,2.6,mixed,1.44,12.814
48.4,80.7,car,16.7,27.0,44.4,2.8,highway,0.4,3.537
240.4,90.9,bike,31.4,6.3,24.1,0.2,highway,0.39,10.054
429.1,28.5,car,13.4,6.0,41.2,1.5,urban,3.76,89.269
278.2,35.7,bike,38.3,38.1,42.0,1.6,urban,4.54,19.503
28.2,79.7,car,21.7,39.7,41.2,1.2,mixed,1.53,2.313
487.3,40.8,car,15.3,7.8,36.1,2.4,urban,2.05,67.144
415.2,74.1,car,16.8,16.0,42.7,1.3,highway,0.49,31.331
70.1,35.8,car,14.0,36.7,19.4,1.6,mixed,1.04,8.387
461.3,38.0,bike,48.3,33.6,5.7,4.8,urban,4.91,30.448
228.1,90.5,bike,38.4,35.7,42.1,0.5,highway,0.26,7.581
189.1,21.5,suv,9.4,20.9,24.9,2.9,urban,2.21,48.817
233.2,73.0,car,17.2,40.6,6.4,2.1,mixed,1.95,23.166
418.1,38.4,bike,30.2,11.3,5.8,1.1,urban,4.31,33.009
331.4,114.6,car,12.1,2.8,8.0,3.9,highway,0.45,52.035
34.3,94.6,suv,9.5,30.4,37.5,2.4,highway,0.24,4.652
479.0,100.0,car,12.4,22.0,35.5,1.9,highway,0.13,52.891
78.2,30.0,suv,8.8,37.7,10.2,3.3,urban,2.09,17.619
374.1,36.1,bike,40.2,-0.9,42.3,4.9,urban,4.49,27.885
319.9,117.2,bike,54.1,37.2,14.1,10.8,highway,0.41,11.515
97.8,63.4,car,17.7,9.7,39.6,3.0,mixed,2.2,10.696
89.5,52.4,car,17.1,27.7,24.4,6.2,mixed,1.02,7.853
435.8,20.4,suv,10.1,-3.0,36.6,0.0,urban,2.64,124.558
212.7,63.6,suv,14.5,25.5,19.1,2.3,mixed,1.24,20.9
329.0,83.7,truck,5.0,30.9,17.4,0.7,highway,0.28,74.966
254.5,19.4,car,12.9,13.4,42.1,0.3,urban,2.54,52.416
365.0,20.6,car,18.2,5.8,1.8,2.3,urban,3.01,61.307
242.2,51.6,suv,8.8,21.9,48.7,4.1,mixed,2.34,47.196
147.3,53.7,car,15.5,36.7,32.4,1.6,mixed,1.33,14.724
184.9,100.7,car,17.1,11.2,21.6,3.3,highway,0.24,16.193
430.2,76.2,bike,56.2,7.6,31.4,2.0,mixed,1.28,12.817
236.7,87.6,bike,44.8,8.9,6.1,1.7,highway,0.37,6.695
110.7,46.0,truck,6.5,42.5,25.7,1.0,mixed,0.89,25.795
467.6,43.7,suv,14.9,13.0,49.3,1.4,mixed,2.01,67.01
399.3,80.8,suv,8.9,-4.8,11.8,1.3,highway,0.47,56.026
32.6,54.3,car,14.7,34.1,36.1,3.1,mixed,1.61,3.606
499.5,79.4,car,15.9,30.0,21.7,0.4,highway,0.33,37.63
349.0,41.3,car,16.2,1.4,32.6,0.3,urban,4.57,60.384
84.3,17.4,car,16.1,44.2,10.2,3.2,urban,3.48,16.429
122.4,19.5,car,21.1,25.4,23.5,2.4,urban,2.39,16.022
347.8,76.0,suv,13.0,20.0,49.0,1.7,mixed,1.23,41.027
391.0,33.9,suv,12.3,14.1,9.8,0.5,urban,2.62,72.055
123.3,32.5,car,15.1,39.9,31.8,1.6,urban,3.32,20.852
132.2,75.8,truck,7.1,7.2,28.8,4.7,mixed,1.14,27.438
157.0,45.6,suv,14.7,9.3,28.3,6.6,mixed,1.21,19.115
301.0,109.2,car,20.2,1.1,30.8,3.6,highway,0.48,29.769
90.0,35.3,suv,8.0,33.0,25.1,0.2,mixed,1.2,18.912
56.6,115.6,car,18.4,24.8,0.8,3.3,highway,0.29,5.32
341.0,77.2,car,12.5,25.5,45.0,0.8,mixed,2.28,45.607
390.7,100.6,car,14.6,5.9,41.3,1.1,highway,0.12,40.311
253.0,119.3,suv,8.4,27.6,8.7,0.7,highway,0.39,54.412
185.1,18.4,bike,48.1,33.3,20.7,4.5,urban,4.41,13.992
218.9,22.2,bike,50.6,12.9,38.5,3.1,urban,3.3,13.974
197.3,24.2,bike,33.4,35.1,49.0,2.8,urban,4.36,18.236
480.2,75.3,bike,41.5,12.4,47.6,3.3,highway,0.4,14.156
385.2,32.4,truck,5.3,32.9,45.0,0.8,urban,4.82,178.385
108.0,50.7,suv,10.6,-3.3,7.9,1.8,mixed,1.51,16.903
195.2,26.2,car,13.2,22.6,45.7,3.0,urban,3.39,39.117
274.3,77.5,bike,42.6,43.5,43.9,3.0,highway,0.21,7.629
308.4,24.7,car,19.5,44.1,18.8,4.7,urban,4.46,57.069
236.8,86.2,car,12.7,9.1,19.7,1.0,highway,0.36,23.968
406.0,68.8,car,12.8,17.1,23.0,4.4,mixed,1.04,41.384
385.0,68.6,car,15.5,-1.9,32.8,1.7,mixed,2.0,45.138
255.1,44.6,car,21.4,38.7,13.0,3.3,urban,4.9,39.816
427.9,16.3,suv,12.7,23.4,1.1,1.8,urban,4.26,109.773
376.8,51.2,suv,12.8,14.3,7.1,8.9,mixed,1.63,48.11
390.4,27.7,bike,40.9,0.6,22.0,0.6,urban,2.1,23.477
478.4,60.3,car,17.9,42.3,14.1,3.4,mixed,1.69,45.839
136.9,25.9,suv,8.1,21.5,38.2,2.6,urban,3.94,43.251
137.5,38.6,car,18.4,9.1,5.3,0.6,mixed,1.78,15.225
445.0,28.7,truck,7.6,12.5,45.9,0.2,urban,2.15,139.82
387.3,23.2,suv,12.3,8.5,44.8,4.8,urban,4.56,113.178
463.6,78.2,car,20.7,25.1,45.4,0.5,mixed,2.2,45.792
36.2,17.8,bike,51.7,41.5,37.0,0.6,urban,2.59,2.269
315.7,27.8,suv,8.8,37.8,5.3,11.5,urban,2.95,79.049
76.6,110.6,bike,57.1,18.0,21.9,3.8,highway,0.32,2.186
254.4,24.9,car,12.7,36.3,6.6,0.9,urban,3.59,53.693
82.1,41.3,truck,5.7,16.2,49.4,2.7,urban,2.16,26.28
68.4,93.2,car,13.4,7.6,16.7,2.3,highway,0.37,6.921
11.0,108.7,car,12.1,44.2,29.3,5.6,highway,0.13,1.532
